title,type,country,release_year,rating,duration,genre,description
My Hotter Half,TV Show,United Kingdom,2017,PG,1 Season,British TV Shows,Couples compete to see who can take the sexiest selfie with the loser getting a much-needed makeover.
Mythily Veendum Varunnu,Movie,India,2017,PG,88 min,Horror Movies,After losing her father a young woman moves to the city to earn money. When she finds a job at a mysterious bungalow her worst nightmares come true.
Myths & Monsters,TV Show,United Kingdom,2017,PG,1 Season,British TV Shows,This documentary series takes us to the mythic landscapes of Europe to explore some of most enduring legends produced by European culture.
NOVA: Building Chernobyl's MegaTomb,Movie,United States,2017,PG,53 min,Documentaries,Thirty years after Chernobyl’s nuclear disaster engineers race against time to complete a new dome to contain the reactor’s lethal radiation.
NOVA: Chinese Chariot Revealed,Movie,United States,2017,PG,54 min,Documentaries,The chariot dominated Chinese warfare for millennia. Now a team of experts is building their own and unlocking its many secrets.
NOVA: Day the Dinosaurs Died,Movie,United States,2017,PG,53 min,Documentaries,Drilling into the impact crater of the asteroid that wiped out the dinosaurs a group of scientists unearths new evidence about the catastrophic event.
NOVA: Extreme Animal Weapons,Movie,United States,2017,PG,53 min,Documentaries,From huge tusks to giant horns some animals sport weaponry that’s larger than life. Researchers explain the science behind this biological arms race.
NOVA: Killer Floods,Movie,United States,2017,PG,54 min,Documentaries,Scientists search for evidence left behind by the world’s greatest floods and predict if climate change will cause even greater aquatic disasters.
NOVA: Killer Hurricanes,Movie,United States,2017,PG,52 min,Documentaries,Scientists research the world’s deadliest hurricane trying to understand what this 18th-century storm could tell us about our own future.
NOVA: Killer Volcanoes,Movie,United States,2017,PG,54 min,Documentaries,Evidence of a mysterious medieval famine leads researchers on a quest for one of the deadliest volcanoes in human history.
NOVA: Poisoned Water,Movie,United States,2017,PG,54 min,Documentaries,This documentary details how the water disaster in Flint Michigan happened its lasting effects and the lengthy efforts it took to correct it.
NOVA: Secrets of the Shining Knight,Movie,United States,2017,PG,53 min,Documentaries,A master armorer and his team recreate parts of a knight's medieval armor and test its strength while rediscovering centuries-old metalworking secrets.
Our Shining Days,Movie,China,2017,PG,103 min,Comedies,In a battle of the bands a percussions student and her musical kindred spirits set out to prove the merits of Chinese folk against the Western canon.
Pareeth Pandaari,Movie,India,2017,PG,109 min,Dramas,As the parents of three unmarried daughters a humble cook and his wife contend with the challenges of matchmaking and social expectations.
Perú: Tesoro escondido,Movie,Uruguay,2017,PG,76 min,Documentaries,It's a country steeped in cultural traditions that stretch back more than 1 000 years. But Peru is also a land of surprising natural riches.
Pimpal,Movie,India,2017,PG,92 min,Dramas,As a lonely widower prepares to leave India to live with his children in America he looks back on past memories and unfinished business.
Pup Star: Better 2Gether,Movie,Canada,2017,PG,93 min,Children & Family Movies,Returning Pup Star champ Tiny has her Yorkie paws full after an evil rival replaces her with street dog Scrappy during the national competition.
Red Trees,Movie,United Kingdom,2017,PG,80 min,Documentaries,A documentarian details her Jewish family's escape from Nazi-occupied Prague to refuge in Brazil where her father built a life as an architect.
Revolting Rhymes,TV Show,United Kingdom,2017,PG,1 Season,British TV Shows,Popular fairy tales take on a darkly comic edge in these short animated films based on a book by Roald Dahl and illustrator Quentin Blake.
Rimba Racer,TV Show,Malaysia,2017,PG,1 Season,Kids' TV,In this animated action series a rookie driver seeks glory in a world-class auto race but he’ll need more than just his talent behind the wheel.
Rip Tide,Movie,Australia,2017,PG,87 min,Children & Family Movies,Following an embarrassing viral video a New York model decides to escape from her suffocating existence by visiting her faraway aunt in Australia.
Samarppanam,Movie,India,2017,PG,116 min,Dramas,When a young girl is killed in a suspicious train accident three very different lives become intertwined in their quest for answers.
Samurai Gourmet,TV Show,Japan,2017,PG,1 Season,International TV Shows,Recent retiree Takeshi rediscovers his passion for food and life by getting in touch with his inner warrior and eating what he truly desires.
Saving Capitalism,Movie,United States,2017,PG,73 min,Documentaries,Former Secretary of Labor Robert Reich meets with Americans from all walks of life as he chronicles a seismic shift in the nation's economy.
Scales: Mermaids Are Real,Movie,United States,2017,PG,93 min,Children & Family Movies,A seemingly ordinary girl learns she will turn into a mermaid on her 12th birthday and be forced to leave her life on land behind.
Seven Souls in the Skull Castle: Season Moon Kagen,Movie,,2017,PG,212 min,Action & Adventure,Japan 1590. Wandering samurai band together to take on the lord of Skull Castle in the “Moon Kagen” version of the show performed in a 360º theater.
Shubh Aarambh,Movie,India,2017,PG,127 min,Dramas,As her own wedding looms on the horizon a marriage counselor strives to save her future in-laws' crumbling relationship.
Spiritual House,TV Show,,2017,PG,1 Season,International TV Shows,Psychic Hiroyuki Ehara leads various celebrities through spiritual consultations probing into their issues and spotlighting their accomplishments.
Story of an Egg,Movie,India,2017,PG,132 min,Comedies,When an astrologer gives him one year to find a mate or face being alone forever a professor sets out to find a bride despite serious obstacles.
The Case for Christ,Movie,United States,2017,PG,113 min,Dramas,Bothered by his wife's unyielding belief in Christianity an investigative reporter sets out to use verifiable facts to poke holes in her faith.
The Devil and Father Amorth,Movie,Italy,2017,PG,69 min,Documentaries,"In Rome ""Exorcist"" director William Friedkin follows a 91-year-old priest who performs a real demonic exorcism on a woman from a small Italian town."
The Lamb,Movie,United States,2017,PG,86 min,Children & Family Movies,A big-dreaming donkey escapes his menial existence and befriends some free-spirited animal pals in this imaginative retelling of the Nativity Story.
The Liar and His Lover,TV Show,South Korea,2017,PG,1 Season,International TV Shows,A talented singer falls in love at first sight with a music prodigy who has an affinity for lies – and a knack for being a hit-making producer.
The Magic Pill,Movie,United States,2017,PG,90 min,Documentaries,Doctors farmers chefs and others weigh in on the controversial ketogenic diet and its potential to eradicate common illnesses.
The Mars Generation,Movie,United States,2017,PG,98 min,Children & Family Movies,"Self-professed teenage ""space nerds"" at Space Camp chase their dreams of traveling to Mars while experts reflect on NASA's history and future."
The Mitfords: A Tale of Two Sisters,Movie,United Kingdom,2017,PG,44 min,Documentaries,Jessica and Diana were sisters who were separated by just a few years in age. But their political ideologies couldn't have been any farther apart.
The Music of Silence,Movie,Italy,2017,PG,115 min,Dramas,Based on the autobiography by tenor Andrea Bocelli this musical biopic chronicles his life from his bumpy childhood to his meteoric rise to fame.
The Resurrection of Gavin Stone,Movie,United States,2017,PG,92 min,Children & Family Movies,After one too many run-ins with the law a Hollywood bad boy finds redemption while fulfilling his court-ordered community service at a megachurch.
The Royal Hibiscus Hotel,Movie,Nigeria,2017,PG,90 min,Comedies,A disenchanted chef tries to help her parents restore their failing hotel but cooks up feelings for an investor with his sights set on the property.
The Russian Revolution,Movie,United Kingdom,2017,PG,47 min,Documentaries,Starting in 1881 this film describes how the personal battle between the royal Romanovs and Lenin's Ulyanov family led to the Russian Revolution.
This Is Not What I Expected,Movie,China,2017,PG,107 min,Comedies,Romance and cuisine mix when a perpetually dissatisfied hotel executive finally encounters the perfect meal and the sous chef that made it.
Wakfu,TV Show,France,2017,PG,3 Seasons,Kids' TV,Yugo a 12-year-old Eliatrope with special powers sets out on a mission to find his true family and uncover the mysteries of Wakfu.
Walk with Me,Movie,United Kingdom,2017,PG,94 min,Documentaries,A community of monks in France led by Zen Buddhist master Thich Nhat Hanh offers an intimate glimpse into mindfulness practice and the monastic life.
Water & Power: A California Heist,Movie,United States,2017,PG,78 min,Documentaries,California residents and farmers face powerful barons in the struggle to secure water rights in this fresh historical account of profit and interests.
